review,Used it for,Owned for,Ridden for,rating,Visual Appeal,Reliability,Performance,Service Experience,Extra Features,Comfort,Maintenance cost,Value for Money,Model Name
"I bought new optima hx on December 20. 3 month usage reviews.
Buying good, riding good with solo. Looks excellent. 1.They shows 80km city mileage. No actually you can get 40 to 50 km per charge only. 2. Capacity 2 member and 150 kg. ride solo get better mileage that to 50 km per charge. With two you end up with 40km only. Pick up is poor with 2 person.
3. Charging time min take 5.5 hrs. Instead of claim 4 hrs. I use stabilizer for charging.
4. Four times charging get stuck. I have to cut of mcb and turn on.
5. The claims vehicle run 10km with 47v . Absolute not. When it reaches 47v within a km or 2 km vehicle stops. . Battery indicator show different level. Please note every one . It doesn't run more than 50km.Better charge every 40km.",Daily Commute,< 3 months,< 5000 kms,3,4,3,,3,,3,,4,Hero Electric Optima
"Actually that was my friends bike. But I used it for some occasions, I will precisely say this is best and ever for smoothie rides and a perfect fit for the middle class peoples. it's is the beauty of perfect ride and even eco friendly too.",Everything,Never owned,,5,5,5,,5,,5,,5,Hero Electric Optima
"Poor quality material is used, Within 2 months seat joint is broken. Small kid's toy's material is better than the material used in the bike. There is no shock up while using break. too much bad quality. There is no indication of battery level. Not to buy this bike in your dream also.",Daily Commute,3-6 months,> 15000 kms,1,1,2,,1,,2,,2,Hero Electric Optima
Good vehicle but the range is a bit less as compared to expectations. Quality is lesser as compared to petrol counterparts however very very economical and good for short city rides not good for highway rides or long rides. For longer range pay additional and buy 2 battery version or better battery version,Daily Commute,6 months-1 yr,5000-10000 kms,3,5,3,,3,,4,,4,Hero Electric Optima
"Horrible bike. After driving it for a year, i know in and out of this bike and its support. And my opinion is don't ever buy this junk bike. Reasons 1. Company claims wrong figures about its mileage of 55 km/battery. My bike never gave me more then 45 km/battery. Company is fooling its customer through false claims. 2. Poor material of critical components like motor and battery. I already touched upon initial battery response. After a year, bike is giving less then 30 km on a full charge. The motor of bike has got damaged within a year. Both are covered under 3-year warranty, but support too is horrible. 3. Customer support is horrible. Even after 15 days of issue identification, company hasn't still replaced motor and battery that ere covered under a 3 year warranty. I reached out to their engineer many times a day, but no response from him. He neither picks up the calls, nor responds on whats-app. All the goodwill of hero motor corp is getting damaged because of this company (hero electric) and its employees. Now, if you have spare money to waste, then still there are better options that this junk piece of bike. Give it to some beggar rather than cribbing after investing in this junk bike. My final verdict.... Never even think in your dreams of investing money in this bike.",Daily Commute,> 1 yr,< 5000 kms,1,3,1,,4,,3,,1,Hero Electric Optima
"Best riding on road, best experience nice look, money saving best mileage best for school and collage and children not this youngster, nice warranty in a scooter, nice speed, nice service and maintenance .",Daily Commute,> 1 yr,< 5000 kms,5,5,5,,4,,4,,4,Hero Electric Optima
Very bad experience from dealer . I bought photon model in 2017. Dealer do very bad servicing of vehicle . Any one or more part found broken in every servicing . So with in 2 years my vehicle is very noisy . Battery quality is not good . It's life cycle is about 1.5 or 2 years. Battery cost is about rs. 18000 . Spending of rs 18000 in every 2 tears is too expensive. i like battery bike but do not want to go with hero electric and dealer also.,Daily Commute,> 1 yr,10000-15000 kms,1,3,1,,1,,3,,2,Hero Electric Optima
"1. Good2.Load capacity below 100 kg 3.Good looks but using low quality plastic body4 no spare parts available in service center immediately. Book and waiting method. Vehicle returned more than one week's after serving5.Loding capacity less than 100kg, using low quality plastic. Company assured mileage 60 km, but actual 32km on full charge.",Tours,3-6 months,< 5000 kms,1,3,1,,1,,2,,2,Hero Electric Optima
Hero optima is best electric scooter This is the best of one in other brand. You purchase this scooter and enjoy you wonderful ride. My advice for nature lover use this hero electric scooter self and your family persons. Hero electric bike is more comfortable for a our environment and no required petrol consumption. I love it.,Everything,6 months-1 yr,5000-10000 kms,5,5,5,,5,,5,,5,Hero Electric Optima
Bought it amidst lockdown. Congratulations to hero electric for venturing into the field of riding with zero emission. Really appreciate such moves. Riding experience is good. Better suited for single riding rather than double carrying.. The battery of vrla model doesn't charge fully below 12 hours. Moreover the capacity of the motor to perform at battery levels below 30% is really poor. So after a maximum of 40kms one needs to recharge it for full performance. Probably the lithium version works better.,Daily Commute,< 3 months,< 5000 kms,4,5,3,,3,,4,,4,Hero Electric Optima
I bought from optima from st. Thomas agency thrissur on june 2018.After 1 month the shop is shut down.This is the waste experience after only 20 month the controller is damaged and no spare part available. No resale value. Not reliable scooter. Poor and performance is not good.This is waste product and services.,Daily Commute,> 1 yr,< 5000 kms,1,2,,,2,,,,2,Hero Electric Optima
"I purchased hero electric optima and was thrilled at owning an environment friendly zero emission electric vehicle. Unfortunately that was the only thing i could be thrilled about. In exactly 16 months, the battery died. The mechanic visited my premises and give the sad news, like we hear doctors announcing the death of their patient. But here, i was the victim. The cost of replacement was 45% of the original cost of the bike !!! not joking...Serious. Now i'm in a dilemma, should i replace this every 16 months, which is equal to buying a new bike every 2 years !!...Or simply but a decent, ""good old"", fossil fueled scooter. Outrageous....Keep away from this product, till they promise better batteries that last longer or cost reasonable.",Occasional Commute,> 1 yr,< 5000 kms,1,3,1,,1,,3,,1,Hero Electric Optima
